字詞號,字詞名,部首字,部首外筆劃數,總筆劃數,注音一式
00001,八,八,0,2,ㄅㄚ
00002,扒,手,2,5,(一)ㄅㄚ
00003,叭,口,2,5,ㄅㄚ
00004,巴,己,1,4,ㄅㄚ
00005,吧,口,4,7,(一)ㄅㄚ
00006,芭,艸,4,8,ㄅㄚ
00007,疤,疒,4,9,ㄅㄚ
00008,羓,羊,4,10,ㄅㄚ
00009,粑,米,4,10,ㄅㄚ
00010,笆,竹,4,10,ㄅㄚ
00011,豝,豕,4,11,ㄅㄚ
00012,鈀,金,4,12,(二)ㄅㄚ
00013,捌,手,7,10,ㄅㄚ
00014,拔,手,5,8,ㄅㄚˊ
00015,茇,艸,5,9,(一)ㄅㄚˊ
00016,胈,肉,5,9,ㄅㄚˊ
00017,軷,車,5,12,(一)ㄅㄚˊ
00018,菝,艸,8,12,ㄅㄚˊ
00019,跋,足,5,12,ㄅㄚˊ
00020,鈸,金,5,13,(一)ㄅㄚˊ
00021,魃,鬼,5,15,ㄅㄚˊ
00022,鼥,鼠,5,18,ㄅㄚˊ
00023,把,手,4,7,(一)ㄅㄚˇ
00024,鈀,金,4,12,(一)ㄅㄚˇ
00025,靶,革,4,13,ㄅㄚˇ
00026,把,手,4,7,(二)ㄅㄚˋ
00027,弝,弓,4,7,ㄅㄚˋ
00028,爸,父,4,8,ㄅㄚˋ
00029,耙,耒,4,10,(二)（又音）ㄅㄚˋ
00030,伯,人,5,7,(三)ㄅㄚˋ
00031,罷,网,10,15,(一)ㄅㄚˋ
00032,矲,矢,15,20,ㄅㄚˋ
00033,霸,雨,13,21,(一)ㄅㄚˋ
00034,灞,水,21,24,ㄅㄚˋ
00035,壩,土,21,24,ㄅㄚˋ
00036,吧,口,4,7,(二)˙ㄅㄚ
00037,杷,木,4,8,(二)（又音）˙ㄅㄚ
00038,琶,玉,8,12,(二)（又音）˙ㄅㄚ
00039,罷,网,10,15,(二)˙ㄅㄚ
00040,癶,癶,0,5,ㄅㄛ
00041,撥,手,12,15,ㄅㄛ
00042,蹳,足,12,19,ㄅㄛ
00043,鱍,魚,12,23,ㄅㄛ
00044,波,水,5,8,(一)ㄅㄛ
00045,玻,玉,5,9,ㄅㄛ
00046,啵,口,8,11,(一)ㄅㄛ
00047,菠,艸,8,12,ㄅㄛ
00048,碆,石,8,13,(一)ㄅㄛ
00049,砵,石,5,10,ㄅㄛ
00050,缽,缶,5,11,ㄅㄛ
00051,趵,足,3,10,(二)ㄅㄛ
00052,般,舟,4,10,(三)ㄅㄛ
00053,剝,刀,8,10,(一)（讀音）ㄅㄛ
00054,嶓,山,12,15,ㄅㄛ
00055,餑,食,7,15,ㄅㄛ
00056,嚗,口,15,18,ㄅㄛ
00057,犮,犬,1,5,ㄅㄛˊ
00058,軷,車,5,12,(二)（又音）ㄅㄛˊ
00059,鈸,金,5,13,(二)（又音）ㄅㄛˊ
00060,白,白,0,5,(二)（讀音）ㄅㄛˊ
00061,百,白,1,6,(二)（讀音）ㄅㄛˊ
00062,伯,人,5,7,(一)（讀音）ㄅㄛˊ
00063,泊,水,5,8,(一)ㄅㄛˊ
00064,拍,手,5,8,(四)ㄅㄛˊ
00065,佰,人,6,8,(二)（讀音）ㄅㄛˊ
00066,帛,巾,5,8,ㄅㄛˊ
00067,柏,木,5,9,(一)（讀音）ㄅㄛˊ
00068,舶,舟,5,11,ㄅㄛˊ
00069,鉑,金,5,13,ㄅㄛˊ
00070,箔,竹,8,14,ㄅㄛˊ
00071,彴,彳,3,6,(二)ㄅㄛˊ
00072,瓝,瓜,3,9,ㄅㄛˊ
00073,孛,子,4,7,(一)ㄅㄛˊ
00074,勃,力,7,9,ㄅㄛˊ
00075,浡,水,7,10,ㄅㄛˊ
00076,悖,心,7,10,(一)ㄅㄛˊ
00077,挬,手,7,10,ㄅㄛˊ
00078,郣,邑,7,10,ㄅㄛˊ
00079,桲,木,7,11,ㄅㄛˊ
00080,荸,艸,7,11,(二)（又音）ㄅㄛˊ
00081,脖,肉,7,11,ㄅㄛˊ
00082,渤,水,9,12,ㄅㄛˊ
00083,葧,艸,9,13,ㄅㄛˊ
00084,馞,香,7,16,ㄅㄛˊ
00085,鵓,鳥,7,18,ㄅㄛˊ
00086,&fa76._104_0.gif;,鬲,13,23,(二)（讀音）ㄅㄛˊ
00087,瓟,瓜,5,10,(一)ㄅㄛˊ
00088,雹,雨,5,13,(二)（又音）ㄅㄛˊ
00089,骲,骨,5,15,ㄅㄛˊ
00090,博,十,10,12,ㄅㄛˊ
00091,搏,手,10,13,ㄅㄛˊ
00092,猼,犬,10,13,(一)ㄅㄛˊ
00093,膊,肉,10,14,ㄅㄛˊ
00094,薄,艸,13,17,(一)（讀音）ㄅㄛˊ
00095,簙,竹,12,18,ㄅㄛˊ
00096,鎛,金,10,18,ㄅㄛˊ
00097,餺,食,10,18,ㄅㄛˊ
00098,簿,竹,13,19,(二)ㄅㄛˊ
00099,髆,骨,10,20,ㄅㄛˊ
00100,欂,木,17,21,ㄅㄛˊ
00101,礴,石,17,22,ㄅㄛˊ
00102,鑮,金,17,25,ㄅㄛˊ
00103,菔,艸,8,12,(一)ㄅㄛˊ
00104,駁,馬,4,14,ㄅㄛˊ
